,Author,Pub,Type,Chunk
10,GPT-3.5,"[' In the contemporary landscape, the influence of machine learning, particularly deep learning, is ever-expanding, contributing significantly to various societal domains. Notably, its impact is pronounced in natural language processing, exemplified by applications like hate speech detection and document summarization. Similarly, in computer vision, deep learning plays a pivotal role in enhancing image interpretation, medical diagnosis, and advancements in autonomous driving. The success of deep learning is often attributed to iconic architectures such as AlexNet, ResNet, and GPT, coupled with well-crafted optimization procedures. This thesis delves into the intricate relationship between architectures and training procedures, focusing specifically on the application of Transformer architectures to visual understanding. Presently, training procedures for transformers are less mature compared to those for convolutional networks (convnets). Recognizing that training is instrumental in overcoming the inherent architectural limitations of transformers, this research hones in on developing procedures capable of achieving compelling performance for transformers and even simpler architectures resembling multi-layer perceptrons. The exploration commences by investigating the viability of learning with coarse labels through a modification of the training procedure. Subsequently, various architectures for computer vision are scrutinized, encompassing an in-depth analysis of their features, advantages, drawbacks, and optimal training methodologies. The research culminates in an examination of the intricate interplay between architecture and the training process. All proposed approaches are rigorously evaluated through image classification on the ImageNet dataset and transfer learning. Furthermore, the methods are extended to additional tasks such as semantic segmentation, providing a comprehensive assessment of their effectiveness.']",abstract_chunked," In the contemporary landscape, the influence of machine learning, particularly deep learning, is ever-expanding, contributing significantly to various societal domains. Notably, its impact is pronounced in natural language processing, exemplified by applications like hate speech detection and document summarization. Similarly, in computer vision, deep learning plays a pivotal role in enhancing image interpretation, medical diagnosis, and advancements in autonomous driving. The success of deep learning is often attributed to iconic architectures such as AlexNet, ResNet, and GPT, coupled with well-crafted optimization procedures. This thesis delves into the intricate relationship between architectures and training procedures, focusing specifically on the application of Transformer architectures to visual understanding. Presently, training procedures for transformers are less mature compared to those for convolutional networks (convnets). Recognizing that training is instrumental in overcoming the inherent architectural limitations of transformers, this research hones in on developing procedures capable of achieving compelling performance for transformers and even simpler architectures resembling multi-layer perceptrons. The exploration commences by investigating the viability of learning with coarse labels through a modification of the training procedure. Subsequently, various architectures for computer vision are scrutinized, encompassing an in-depth analysis of their features, advantages, drawbacks, and optimal training methodologies. The research culminates in an examination of the intricate interplay between architecture and the training process. All proposed approaches are rigorously evaluated through image classification on the ImageNet dataset and transfer learning. Furthermore, the methods are extended to additional tasks such as semantic segmentation, providing a comprehensive assessment of their effectiveness."
11,GPT-3.5,"[' This paper introduces ResMLP, a novel architecture for image classification based entirely on multi-layer perceptrons (MLPs). ResMLP is designed as a simple residual network, leveraging alternating layers that enable interaction among image patches and channels. This interaction occurs independently and identically, leading to a streamlined yet effective approach. Through modern training strategies incorporating extensive data augmentation and optional distillation, ResMLP demonstrates remarkable accuracy-to-complexity tradeoffs on the ImageNet dataset. The paper also explores self-supervised training of ResMLP models, further diminishing reliance on labeled datasets. Additionally, by adapting the ResMLP architecture to machine translation tasks, the paper showcases unexpectedly strong performance. Pre-trained models and code, implemented using the Timm library, are shared to facilitate broader exploration and application of ResMLP.']",abstract_chunked," This paper introduces ResMLP, a novel architecture for image classification based entirely on multi-layer perceptrons (MLPs). ResMLP is designed as a simple residual network, leveraging alternating layers that enable interaction among image patches and channels. This interaction occurs independently and identically, leading to a streamlined yet effective approach. Through modern training strategies incorporating extensive data augmentation and optional distillation, ResMLP demonstrates remarkable accuracy-to-complexity tradeoffs on the ImageNet dataset. The paper also explores self-supervised training of ResMLP models, further diminishing reliance on labeled datasets. Additionally, by adapting the ResMLP architecture to machine translation tasks, the paper showcases unexpectedly strong performance. Pre-trained models and code, implemented using the Timm library, are shared to facilitate broader exploration and application of ResMLP."
12,GPT-3.5,"[' Knowledge Graph Completion (KGC) endeavors to autonomously predict missing links within expansive knowledge graphs. Recent years have seen a surge in state-of-the-art KGC techniques presented at top conferences across various research domains, including data mining, machine learning, and natural language processing. However, a notable trend reveals that several recent papers boast exceedingly high performance, surpassing established state-of-the-art methods. In this paper, we identify that this phenomenon can be attributed to the adoption of inappropriate evaluation protocols. We propose a straightforward yet effective evaluation protocol to rectify this issue, designed to handle model bias and mitigate its impact on final results. Extensive experiments are conducted, presenting the performance of numerous existing methods using our proposed protocol. We have made the reproducible code publicly available to facilitate transparency and reproducibility in the evaluation of Knowledge Graph Completion techniques.']",abstract_chunked," Knowledge Graph Completion (KGC) endeavors to autonomously predict missing links within expansive knowledge graphs. Recent years have seen a surge in state-of-the-art KGC techniques presented at top conferences across various research domains, including data mining, machine learning, and natural language processing. However, a notable trend reveals that several recent papers boast exceedingly high performance, surpassing established state-of-the-art methods. In this paper, we identify that this phenomenon can be attributed to the adoption of inappropriate evaluation protocols. We propose a straightforward yet effective evaluation protocol to rectify this issue, designed to handle model bias and mitigate its impact on final results. Extensive experiments are conducted, presenting the performance of numerous existing methods using our proposed protocol. We have made the reproducible code publicly available to facilitate transparency and reproducibility in the evaluation of Knowledge Graph Completion techniques."
13,GPT-3.5,"[' Autoregressive sequence models, while excelling in performance, suffer from significant latency during inference, prompting the exploration of non-autoregressive alternatives. However, existing non-autoregressive models, assuming conditional independence during token decoding, often produce inconsistent outputs, leading to inferior accuracy compared to autoregressive counterparts. To address this, we propose incorporating a structured inference module into non-autoregressive models. Specifically, we introduce an efficient approximation for Conditional Random Fields (CRF) tailored for non-autoregressive sequence models. Additionally, we present a dynamic transition technique to capture positional contexts within the CRF. Experimental results in machine translation showcase that our model, while incurring minimal latency (8âˆ¼14ms), achieves significantly improved translation performance compared to previous non-autoregressive models across different datasets. Notably, on the WMT14 En-De dataset, our model attains a BLEU score of 26.80, outperforming prior non-autoregressive baselines and trailing purely autoregressive models by only 0.61 in BLEU.']",abstract_chunked," Autoregressive sequence models, while excelling in performance, suffer from significant latency during inference, prompting the exploration of non-autoregressive alternatives. However, existing non-autoregressive models, assuming conditional independence during token decoding, often produce inconsistent outputs, leading to inferior accuracy compared to autoregressive counterparts. To address this, we propose incorporating a structured inference module into non-autoregressive models. Specifically, we introduce an efficient approximation for Conditional Random Fields (CRF) tailored for non-autoregressive sequence models. Additionally, we present a dynamic transition technique to capture positional contexts within the CRF. Experimental results in machine translation showcase that our model, while incurring minimal latency (8âˆ¼14ms), achieves significantly improved translation performance compared to previous non-autoregressive models across different datasets. Notably, on the WMT14 En-De dataset, our model attains a BLEU score of 26.80, outperforming prior non-autoregressive baselines and trailing purely autoregressive models by only 0.61 in BLEU."
14,GPT-3.5,"[' Supervised Fine-Tuning (SFT) on response demonstrations coupled with Reinforcement Learning from Human Feedback (RLHF) offers a robust paradigm for aligning AI agents based on large language models (LLMs). However, the reliance on high-quality human annotations poses a significant limitation, especially for complex tasks where obtaining consistent response demonstrations and in-distribution preferences is challenging. This paper introduces SALMON (Self-ALignMent with principlefOllowiNg reward models), a novel approach to align base language models with minimal human supervision. SALMON utilizes a principle-following reward model, trained on synthetic preference data, to generate reward scores based on human-defined principles. By adjusting these principles during RL training, we gain precise control over preferences, influencing RL-trained policies and eliminating the need for online human preferences. Applied to the LLaMA-2-70b base language model, our method produces the AI assistant Dromedary-2, surpassing state-of-the-art AI systems with only 6 exemplars for in-context learning and 31 human-defined principles. We open-source the code and model weights, encouraging further research in aligning LLM-based AI agents with enhanced supervision efficiency, improved controllability, and scalable oversight.']",abstract_chunked," Supervised Fine-Tuning (SFT) on response demonstrations coupled with Reinforcement Learning from Human Feedback (RLHF) offers a robust paradigm for aligning AI agents based on large language models (LLMs). However, the reliance on high-quality human annotations poses a significant limitation, especially for complex tasks where obtaining consistent response demonstrations and in-distribution preferences is challenging. This paper introduces SALMON (Self-ALignMent with principlefOllowiNg reward models), a novel approach to align base language models with minimal human supervision. SALMON utilizes a principle-following reward model, trained on synthetic preference data, to generate reward scores based on human-defined principles. By adjusting these principles during RL training, we gain precise control over preferences, influencing RL-trained policies and eliminating the need for online human preferences. Applied to the LLaMA-2-70b base language model, our method produces the AI assistant Dromedary-2, surpassing state-of-the-art AI systems with only 6 exemplars for in-context learning and 31 human-defined principles. We open-source the code and model weights, encouraging further research in aligning LLM-based AI agents with enhanced supervision efficiency, improved controllability, and scalable oversight."
15,GPT-3.5,"["" This paper addresses the challenge of learning representations for entities and relations in knowledge graphs, with the goal of predicting missing links. The effectiveness of this task hinges on the model's capacity to capture and infer intricate patterns within relations. We introduce RotatE, a novel knowledge graph embedding approach designed to model and infer diverse relation patterns, including symmetry/antisymmetry, inversion, and composition. The RotatE model represents each relation as a rotation from the source entity to the target entity in the complex vector space. Furthermore, we propose a novel self-adversarial negative sampling technique to efficiently and effectively train the RotatE model. Experimental results across multiple benchmark knowledge graphs demonstrate that RotatE is not only scalable but also adept at inferring and modeling various relation patterns, surpassing existing state-of-the-art models in link prediction.""]",abstract_chunked," This paper addresses the challenge of learning representations for entities and relations in knowledge graphs, with the goal of predicting missing links. The effectiveness of this task hinges on the model's capacity to capture and infer intricate patterns within relations. We introduce RotatE, a novel knowledge graph embedding approach designed to model and infer diverse relation patterns, including symmetry/antisymmetry, inversion, and composition. The RotatE model represents each relation as a rotation from the source entity to the target entity in the complex vector space. Furthermore, we propose a novel self-adversarial negative sampling technique to efficiently and effectively train the RotatE model. Experimental results across multiple benchmark knowledge graphs demonstrate that RotatE is not only scalable but also adept at inferring and modeling various relation patterns, surpassing existing state-of-the-art models in link prediction."
16,GPT-3.5,"["" This paper introduces a novel paradigm, RECITation-augmented gEneration (RECITE), aimed at enhancing the accuracy of factual knowledge generation in Large Language Models (LLMs) without relying on external corpuses. Departing from conventional retrieval-augmented language models, RECITE employs a recite-and-answer approach, where relevant passages are sampled from the LLMs' internal memory before generating final responses. The proposed RECITE paradigm demonstrates significant efficacy in knowledge-intensive Natural Language Processing (NLP) tasks, achieving state-of-the-art performance in various closed-book question answering (CBQA) scenarios. Through comprehensive experiments on four pre-trained models (PaLM, UL2, OPT, and Codex) across three CBQA tasks (Natural Questions, TriviaQA, and HotpotQA), we validate the effectiveness of RECITE. The code for our approach is publicly available for further exploration.""]",abstract_chunked," This paper introduces a novel paradigm, RECITation-augmented gEneration (RECITE), aimed at enhancing the accuracy of factual knowledge generation in Large Language Models (LLMs) without relying on external corpuses. Departing from conventional retrieval-augmented language models, RECITE employs a recite-and-answer approach, where relevant passages are sampled from the LLMs' internal memory before generating final responses. The proposed RECITE paradigm demonstrates significant efficacy in knowledge-intensive Natural Language Processing (NLP) tasks, achieving state-of-the-art performance in various closed-book question answering (CBQA) scenarios. Through comprehensive experiments on four pre-trained models (PaLM, UL2, OPT, and Codex) across three CBQA tasks (Natural Questions, TriviaQA, and HotpotQA), we validate the effectiveness of RECITE. The code for our approach is publicly available for further exploration."
17,GPT-3.5,"["" Recent advances in Natural Language Processing (NLP) have seen significant success through the utilization of large pre-trained models with millions of parameters. However, the deployment of such models to resource-limited mobile devices is hindered by their substantial size and high latency. This paper introduces MobileBERT, a solution designed to compress and accelerate the widely used BERT model. MobileBERT retains the task-agnostic nature of the original BERT, allowing it to be applied to various NLP tasks through straightforward fine-tuning. Essentially, MobileBERT is a streamlined version of BERTLARGE, featuring bottleneck structures and a meticulously balanced combination of self-attentions and feed-forward networks. The training process involves the creation of a specially designed teacher model, an inverted-bottleneck incorporated BERTLARGE model, from which knowledge is transferred to MobileBERT. Empirical studies demonstrate that MobileBERT achieves a 4.3× reduction in size and a 5.5× improvement in speed compared to BERTBASE while delivering competitive results on established benchmarks. In particular, on GLUE's natural language inference tasks, MobileBERT attains a GLUE score of 77.7 (0.6 lower than BERTBASE) with a latency of 62 ms on a Pixel 4 phone. Additionally, on the SQuAD v1.1/v2.0 question answering task, MobileBERT achieves a dev F1 score of 90.0/79.2 (1.5/2.1 higher than BERTBASE).""]",abstract_chunked," Recent advances in Natural Language Processing (NLP) have seen significant success through the utilization of large pre-trained models with millions of parameters. However, the deployment of such models to resource-limited mobile devices is hindered by their substantial size and high latency. This paper introduces MobileBERT, a solution designed to compress and accelerate the widely used BERT model. MobileBERT retains the task-agnostic nature of the original BERT, allowing it to be applied to various NLP tasks through straightforward fine-tuning. Essentially, MobileBERT is a streamlined version of BERTLARGE, featuring bottleneck structures and a meticulously balanced combination of self-attentions and feed-forward networks. The training process involves the creation of a specially designed teacher model, an inverted-bottleneck incorporated BERTLARGE model, from which knowledge is transferred to MobileBERT. Empirical studies demonstrate that MobileBERT achieves a 4.3× reduction in size and a 5.5× improvement in speed compared to BERTBASE while delivering competitive results on established benchmarks. In particular, on GLUE's natural language inference tasks, MobileBERT attains a GLUE score of 77.7 (0.6 lower than BERTBASE) with a latency of 62 ms on a Pixel 4 phone. Additionally, on the SQuAD v1.1/v2.0 question answering task, MobileBERT achieves a dev F1 score of 90.0/79.2 (1.5/2.1 higher than BERTBASE)."
18,GPT-3.5,"["" Collaborative writing involves a dynamic process of drafting, suggesting changes, and iterative revisions. Current language models, however, are trained solely to generate final outputs, lacking crucial abilities for collaborative writing. In response, we present PEER, a collaborative language model trained to imitate the entire writing process. PEER can generate drafts, propose edits, and provide explanations for its actions, addressing limitations in updating existing texts, controllability, and verbal planning. Notably, multiple instances of PEER are trained to infill various parts of the writing process, leveraging self-training techniques to enhance the quality, quantity, and diversity of training data. This approach allows PEER to operate in domains without edit histories and improves its capacity to follow instructions, generate useful comments, and explain its actions. Extensive experiments demonstrate PEER's strong performance across diverse domains and editing tasks.""]",abstract_chunked," Collaborative writing involves a dynamic process of drafting, suggesting changes, and iterative revisions. Current language models, however, are trained solely to generate final outputs, lacking crucial abilities for collaborative writing. In response, we present PEER, a collaborative language model trained to imitate the entire writing process. PEER can generate drafts, propose edits, and provide explanations for its actions, addressing limitations in updating existing texts, controllability, and verbal planning. Notably, multiple instances of PEER are trained to infill various parts of the writing process, leveraging self-training techniques to enhance the quality, quantity, and diversity of training data. This approach allows PEER to operate in domains without edit histories and improves its capacity to follow instructions, generate useful comments, and explain its actions. Extensive experiments demonstrate PEER's strong performance across diverse domains and editing tasks."
19,GPT-3.5,"["" The success of pretraining deep language models in NLP has been remarkable, but recent findings highlight their struggle to comprehend rare words. Addressing this limitation, we present BERTRAM, an architecture built upon BERT that excels in generating high-quality embeddings for rare words. Inspired by strategies employed in static word embeddings, BERTRAM enables the interaction between the surface form and contexts of a word within a deep architecture. Integrating BERTRAM into BERT yields substantial performance improvements, particularly in the representation of rare and medium-frequency words. This enhancement is evident across a rare word probing task and three downstream tasks, showcasing BERTRAM's effectiveness in improving the treatment of rare words in pretrained language models.""]",abstract_chunked," The success of pretraining deep language models in NLP has been remarkable, but recent findings highlight their struggle to comprehend rare words. Addressing this limitation, we present BERTRAM, an architecture built upon BERT that excels in generating high-quality embeddings for rare words. Inspired by strategies employed in static word embeddings, BERTRAM enables the interaction between the surface form and contexts of a word within a deep architecture. Integrating BERTRAM into BERT yields substantial performance improvements, particularly in the representation of rare and medium-frequency words. This enhancement is evident across a rare word probing task and three downstream tasks, showcasing BERTRAM's effectiveness in improving the treatment of rare words in pretrained language models."
